Name,Power,Accuracy,Damage Class,Description,Effect
Ataque Óseo,25.0,90.0,physical,"Hueso en ristre, aporrea al objetivo de dos a
cinco veces.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Fijar Blanco,,,status,Fija el blanco para que el siguiente ataque no falle.,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass."
Enfado,120.0,100.0,physical,"Ataca de dos a tres turnos y acaba confundiendo
al agresor.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move."
Tormenta Arena,,,status,"Tormenta de arena que dura cinco turnos y hiere a
todos, excepto a los de tipo Roca, Tierra y Acero.","Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn.  Every rock Pokémon's original Special Defense is raised by 50% for the duration of this effect.

solar beam's power is halved.

moonlight, morning sun, and synthesis only heal 1/4 the user's max HP."
Gigadrenado,75.0,100.0,special,"Un ataque que absorbe nutrientes. Quien lo usa
recupera la mitad de los PS del daño que produce.",Inflicts regular damage.  Drains half the damage inflicted to heal the user.
Aguante,,,status,"Resiste cualquier ataque y deja al menos 1 PS.
Puede fallar si se usa repetidamente.","The user's HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome."
Encanto,,100.0,status,Engatusa al objetivo y reduce bastante su Ataque.,Lowers the target's Attack by two stages.
Rodar,30.0,90.0,physical,"El atacante rueda contra el objetivo durante cinco
turnos, cada vez con mayor fuerza.","Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power."
Falso Tortazo,40.0,100.0,physical,"Ataque moderado que no debilita al objetivo y le
deja al menos 1 PS.",Inflicts regular damage.  Will not reduce the target's HP below 1.
Contoneo,,85.0,status,"Provoca confusión en el objetivo, pero también
sube mucho su Ataque.","Raises the target's Attack by two stages, then confuses it.  If the target's Attack cannot be raised by two stages, the confusion is not applied."
Batido,,,status,"Restaura la mitad de los PS máximos del usuario.
Fuera de combate se usa para transferir parte de
sus PS a un aliado.",Heals the user for half its max HP.
Chispa,65.0,100.0,physical,Ataque eléctrico que puede llegar a paralizar.,Inflicts regular damage.  Has a 30% chance to paralyze the target.
Corte Furia,40.0,95.0,physical,"Ataque con garras o guadaña que crece en
intensidad si se usa repetidas veces.","Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets."
Ala de Acero,70.0,90.0,physical,"Alas macizas que golpean al objetivo y pueden
subir la Defensa del usuario.",Inflicts regular damage. Has a 10% chance to raise the user's Defense one stage.
Mal de Ojo,,,status,"Mal de ojo que impide al objetivo huir de la
batalla.","The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass."
Atracción,,100.0,status,"Si el objetivo es del sexo opuesto, se enamorará y
bajará la posibilidad de que ataque.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends."
Sonámbulo,,,status,"Mientras duerme, usa uno de sus movimientos
elegido al azar.","Only usable if the user is sleeping.  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
Campana Cura,,,status,"Tañido que cura los problemas de estado de todos
los Pokémon del equipo.",Removes major status effects and confusion from every Pokémon in the user's party.
Retribución,,100.0,physical,"Cuanto mayor sea la amistad con el Entrenador,
más poderoso será este ataque.","Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
Presente,,90.0,physical,"Quien lo usa ataca al objetivo dándole un regalo
con bomba trampa. Sin embargo, a veces restaura
sus PS.","Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts regular damage with 40 power  |    40%
Inflicts regular damage with 80 power  |    30%
Inflicts regular damage with 120 power |    10%
Heals the target for 1/4 its max HP    |    20%

On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP."
Frustración,,100.0,physical,"Cuanto menor sea la amistad con el Entrenador,
más poderoso será este ataque.","Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
Velo Sagrado,,,status,"Un escudo que protege de problemas de estado,
como el sueño o la parálisis, durante cinco turnos.","Protects Pokémon on the user's side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash."
Divide Dolor,,,status,"Suma los PS del usuario a los del objetivo y los
reparte a partes iguales.","Changes the user's and target's remaining HP to the average of their current remaining HP.  Ignores accuracy and evasion modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect fails against a substitute."
Fuego Sagrado,100.0,95.0,physical,"Fuego místico de gran intensidad que puede
causar quemaduras.","Inflicts regular damage.  Has a 50% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw."
Magnitud,,100.0,physical,"Sacudida sísmica de intensidad variable que afecta
a todos los Pokémon a su alrededor.","Inflicts regular damage.  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig."
Puño Dinámico,100.0,50.0,physical,"Puñetazo con toda la fuerza concentrada. Causa
confusión si atina.",Inflicts regular damage.  Has a 100% chance to confuse the target.
Megacuerno,120.0,85.0,physical,Violenta embestida con cuernos imponentes.,Inflicts regular damage.
Dragoaliento,60.0,100.0,special,"Poderosa ráfaga de aliento que golpea al objetivo
y puede paralizarlo.",Inflicts regular damage.  Has a 30% chance to paralyze the target.
Relevo,,,status,"Cambia el puesto con un compañero y le pasa los
cambios de características.","User switches out, and the trainer selects a replacement Pokémon from the party.  Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua ring
* both the user's and target's effect of block, mean look, and spider web
* the curse effect of curse
* embargo
* focus energy or an activated lansat berry
* gastro acid
* ingrain
* being sapped by leech seed
* being targeted by lock on or mind reader
* magnet rise
* perish song's counter
* power trick
* substitute; the doll's HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in."
Otra Vez,,100.0,status,"El objetivo repite su último movimiento durante
tres turnos.","The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of PP.

If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail.  If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail."
Persecución,40.0,100.0,physical,"Hace el doble de daño al objetivo que pide el
relevo.","Inflicts regular damage.  If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me."
Giro Rápido,50.0,100.0,physical,"Ataque giratorio que puede eliminar movimientos
como Atadura, Constricción, Drenadoras y Púas.","Inflicts regular damage.  Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field.  If this move misses or has no effect, its effect doesn't activate."
Dulce Aroma,,100.0,status,"Un dulce aroma engatusa al objetivo, por lo que
se reduce mucho su Evasión. En la hierba
alta sirve para atraer a Pokémon salvajes.",Lowers the target's evasion by one stage.
Cola Férrea,100.0,75.0,physical,"Ataca con una cola férrea y puede bajar la
Defensa del objetivo.",Inflicts regular damage.  Has a 30% chance to lower the target's Defense by one stage.
Garra Metal,50.0,95.0,physical,"Ataque con garras de acero que puede aumentar
el Ataque del usuario.",Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.
Tiro Vital,70.0,,physical,"El usuario ataca el último, pero no falla.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.
Sol Matinal,,,status,"Restaura PS del usuario. La cantidad varía según
el tiempo que haga.","Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
Síntesis,,,status,"Restaura PS del usuario. La cantidad varía según
el tiempo que haga.","Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
Luz Lunar,,,status,"Restaura PS del usuario. La cantidad varía según
el tiempo que haga.","Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP."
Poder Oculto,60.0,100.0,special,"Movimiento cuyo tipo varía en función del
Pokémon que lo usa.","Inflicts regular damage.  Power and type are determined by the user's IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time."
Tajo Cruzado,100.0,80.0,physical,Corte doble que suele propinar un golpe crítico.,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Ciclón,40.0,100.0,special,"Crea un violento tornado para hacer trizas al
enemigo. Puede hacerlo retroceder.","Inflicts regular damage.  Has a 20% chance to make each target flinch.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
Danza Lluvia,,,status,"Genera una fuerte lluvia que refuerza los
movimientos de tipo Agua durante cinco turnos.","Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar beam has half power.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pokémon with swift swim have doubled original Speed.

Pokémon with forecast become water.

Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn."
Día Soleado,,,status,"Quien lo usa intensifica el efecto del sol durante
cinco turnos, lo que potencia los movimientos de
tipo Fuego.","Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user's max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn."
Triturar,80.0,100.0,physical,"Tritura con afilados colmillos y puede bajar la
Defensa del objetivo.",Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.
Manto Espejo,,100.0,special,"Responde a un ataque especial ocasionando el
doble del daño recibido.","Targets the last opposing Pokémon to hit the user with a special move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome."
Más Psique,,,status,"Quien lo usa se hipnotiza y copia cualquier cambio
que haya en las características de su objetivo.","Discards the user's stat changes and copies the target's.

This move cannot be copied by mirror move."
Veloc. Extrema,80.0,100.0,physical,"Ataque muy rápido que siempre se realiza el
primero.",Inflicts regular damage.
Poder Pasado,60.0,100.0,special,"Ataque prehistórico que puede subir todas las
características.",Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
Bola Sombra,80.0,100.0,special,"Lanza una bola oscura que puede bajar la Defensa
Especial del objetivo.",Inflicts regular damage.  Has a 20% chance to lower the target's Special Defense by one stage.
Premonición,120.0,100.0,special,"Concentra energía psíquica para golpear al
objetivo dos turnos después.","Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move."
Golpe Roca,40.0,100.0,physical,"Ataque con los puños. Puede bajar la Defensa del
objetivo. Puede romper rocas fuera del combate.",Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.
Torbellino,35.0,85.0,special,"Una tromba de agua atrapa al objetivo durante
cuatro o cinco turnos.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

If the target is in the first turn of dive, this move will hit with double power."
Paliza,,100.0,physical,"Ataque de todo el equipo Pokémon. Cuantos más
haya, más veces se atacará.","Inflicts typeless regular damage.  Every Pokémon in the user's party, excepting those that have fainted or have a major status effect, attacks the target.  Calculated stats are ignored; the base stats for the target and assorted attackers are used instead.  The random factor in the damage formula is not used.  dark Pokémon still get STAB.

This effect breaks through wonder guard."
Sorpresa,40.0,100.0,physical,"Ataca primero y, además, hace retroceder al
objetivo. Solo sirve en el primer turno.",Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.
Alboroto,90.0,100.0,special,"Ataca de forma alborotada durante tres turnos.
Mantiene despiertos a todos.","Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.

Pokémon cannot use rest during this effect.

This move cannot be selected by sleep talk."
Reserva,,,status,"Acumula energía y sube la Defensa y la Defensa
Especial. Puede utilizarse hasta tres veces.","Raises the user's Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not."
Escupir,,100.0,special,"Libera de una vez la energía acumulada con
Reserva.","Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by mirror move."
Tragar,,,status,"Absorbe la energía acumulada con Reserva y
restaura PS.","Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user's Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail."
Onda Ígnea,95.0,90.0,special,"Provoca un viento abrasador que puede quemar al
objetivo.",Inflicts regular damage.  Has a 10% chance to burn the target.
Granizo,,,status,"Tormenta de granizo que dura cinco turnos. Hiere
a todos, excepto a los de tipo Hielo.","Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pokémon with snow cloak are exempt from this effect's damage."
Tormento,,100.0,status,"Atormenta y enfurece al objetivo, que no puede
usar dos veces seguidas el mismo movimiento.","Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.

If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn't use that move this turn."
Camelo,,100.0,status,"Halaga al objetivo y lo confunde, pero también
sube su Ataque Especial.","Raises the target's Special Attack by one stage, then confuses it."
Fuego Fatuo,,85.0,status,Siniestra llama morada que produce quemaduras.,Burns the target.
Legado,,100.0,status,"El usuario se debilita, pero baja mucho tanto el
Ataque como el Ataque Especial del objetivo.",Lowers the target's Attack and Special Attack by two stages.  User faints.
Imagen,70.0,100.0,physical,"Ataca con el doble de potencia si el usuario está
quemado, paralizado o envenenado.","Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power."
Puño Certero,150.0,100.0,physical,"Se concentra para dar un puñetazo. Falla si se
sufre un golpe antes de su uso.","Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
Estímulo,70.0,100.0,physical,"Hace el doble de daño a objetivos paralizados,
pero también cura la parálisis.","Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis."
Señuelo,,,status,"Llama la atención para concentrar todos los
ataques de todos los del equipo rival hacia sí
mismo.","Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome."
Adaptación,,,status,"Usa el poder de la naturaleza para atacar.
Su efecto varía según el entorno de combate.","Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move."
Carga,,,status,"Recarga energía para potenciar el siguiente
movimiento de tipo Eléctrico. También sube la
Defensa Especial.","Raises the user's Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled."
Mofa,,100.0,status,"Enfurece al objetivo para que solo use
movimientos de ataque durante tres turnos.","Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.

bide, counter, endeavor, metal burst, and mirror coat are allowed."
Refuerzo,,,status,"El usuario ayuda a un aliado reforzando la
potencia de su ataque.","Boosts the power of the target's moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome."
Truco,,100.0,status,"Engaña al objetivo desprevenido e intercambia
objetos.","User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome."
Imitación,,,status,Imita al objetivo por completo y copia su habilidad. ,"User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move."
Deseo,,,status,"Restaura la mitad de los PS máximos en el
siguiente turno.","At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate."
Ayuda,,,status,"Usa un movimiento de un miembro del equipo
elegido al azar.","Uses a move from another Pokémon in the user's party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk."
Arraigo,,,status,"Echa raíces para recuperar PS en cada turno, pero
impide el relevo.","Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass."
Fuerza Bruta,120.0,100.0,physical,"Ataque de gran potencia, pero que reduce el
Ataque y la Defensa del agresor.","Inflicts regular damage, then lowers the user's Attack and Defense by one stage each."
Capa Mágica,,,status,"Barrera capaz de devolver al agresor movimientos
como Drenadoras y otros que alteran el estado o
las características.","The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move."
Reciclaje,,,status,"Recicla y así recupera un objeto equipado de un
solo uso que ya haya sido empleado durante el
combate.","User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered."
Desquite,60.0,100.0,physical,"Ataque que produce el doble de daño si el usuario
es herido en el mismo turno.","Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user."
Demolición,75.0,100.0,physical,"Potente ataque que también es capaz de destruir
barreras como Pantalla de Luz y Reflejo.","Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage."
Bostezo,,,status,"Gran bostezo que induce al sueño al objetivo en
el siguiente turno.","Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use."
Desarme,65.0,100.0,physical,"Impide al objetivo usar el objeto que lleva durante
el combate. La potencia del movimiento se
multiplica si el objetivo lleva un objeto.","Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item."
Esfuerzo,,100.0,physical,"Reduce los PS del objetivo para que igualen a los
del atacante.","Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage."
Estallido,150.0,100.0,special,"Furia explosiva. Cuanto menor sea el número de
PS del usuario, menos daño hará el ataque.","Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP."
Intercambio,,,status,"Usa el poder psíquico para intercambiar
habilidades con el objetivo.","User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pokémon has multitype or wonder guard, this move will fail."
Sellar,,,status,"Impide a los contrincantes usar ataques conocidos
por el usuario durante el combate.","Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user's moves when this move is used, this move will fail."
Alivio,,,status,"Descansa para curar parálisis, envenenamiento o
quemaduras.","Removes a burn, paralysis, or poison from the user."
Rabia,,,status,"Si el usuario se debilita al recibir un ataque, todos
los PP de este último ataque serán eliminados.","If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect."
Robo,,,status,"Roba el efecto de los movimientos de curación
o de cambio de características que se usen.","The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move's effect.

If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it's affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome."
Daño Secreto,70.0,100.0,physical,"Ataque con poder secreto cuyos efectos
secundarios varían según el entorno de combate.","Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target's Attack by one stage
Desert         | Lowers target's accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target's accuracy by one stage
Shallow water  | Lowers target's Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target's Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target's accuracy by one stage
Waterfall      | Puts target to sleep
"
Buceo,80.0,100.0,physical,"El usuario se sumerge en el primer turno
y ataca en el segundo.","Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk."
